id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,#date+year+start,#date+year+end,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#country+code,#geo+lon,,,#country+name,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
115804,IRN-1994-1-260-1,1994,1994,1994,0,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 7/1,,,,,6,Turkey,"Corum, Turkey",,,39.000000,TUR,35.000000,POINT (35.000000 39.000000),186191,Turkey,640,Middle East,1,1,1994-01-04 00:00:00.000,1994-01-04 00:00:00.000,0,0,0,0,0,1,0,630,
115612,IRN-1996-1-246-1,1996,1996,1996,0,Clear,1,338,338,Iran: Government,753,753,Government of Iran - MEK,114,114,Government of Iran,308,308,MEK,-1,"r 21/2, R 29/2, R 25/1 1997",,,,MeK,6,Turkey,"Istanbul, Turkey",,,39.000000,TUR,35.000000,POINT (35.000000 39.000000),186191,Turkey,640,Middle East,1,2,1996-02-20 00:00:00.000,1996-02-21 00:00:00.000,0,0,0,0,0,2,0,630,
161999,TUR-1989-1-333-999,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,"R 8/15/1989 KURDISH REBELS KILL, KIDNAP AND BURN IN SOUTHEAST TURKEY.",,,,,5,Southeastern Turkey,southeast,,,37.890868,TUR,42.526891,POINT (42.526891 37.890868),184046,Turkey,640,Middle East,2,5,1989-01-01 00:00:00.000,1989-08-15 00:00:00.000,16,0,0,0,16,16,16,640,
158955,TUR-1989-1-333-2,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 3/31/1989 TROOPS KILL TWO KURDISH REBELS.,,,,,2,Eruh town,near Eruh in the southeastern province of Siirt,Siirt province,Eruh district,37.751667,TUR,42.181111,POINT (42.181111 37.751667),184045,Turkey,640,Middle East,1,1,1989-03-30 00:00:00.000,1989-03-30 00:00:00.000,0,2,0,0,2,2,2,640,
161845,TUR-1989-1-333-3,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 4/22/1989 BODIES OF KURDISH REBELS FOUND IN DUMP.,,,,,2,Siirt town,near Siirt in southeast Turkey,Siirt province,Siirt district,37.932624,TUR,41.940247,POINT (41.940247 37.932624),184044,Turkey,640,Middle East,1,1,1989-04-22 00:00:00.000,1989-04-22 00:00:00.000,0,4,0,0,4,4,4,640,
161847,TUR-1989-1-333-5,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 5/8/1989 KURDISH REBEL MINE KILLS TURKISH SOLDIER.,,,,,5,Turkey/Iraq border,near the Iraqi border,,,37.225581,TUR,43.647827,POINT (43.647827 37.225581),183328,Turkey,640,Middle East,2,3,1989-05-01 00:00:00.000,1989-05-07 00:00:00.000,5,0,0,0,5,5,5,640,
161952,TUR-1989-1-333-4,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 6/1/1989 TROOPS STALK GUERRILLAS IN TURKEY'S KURDISH WAR.,,,,,5,Southeastern Turkey,southeast,,,37.890868,TUR,42.526891,POINT (42.526891 37.890868),184046,Turkey,640,Middle East,2,5,1989-05-01 00:00:00.000,1989-06-01 00:00:00.000,0,0,0,15,15,15,15,640,
161848,TUR-1989-1-333-6,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 5/10/1989 TURKISH SOLDIERS KILL TWO KURDISH REBELS.,,,,,4,Siirt province,province of Siirt,Siirt province,,37.930000,TUR,42.270278,POINT (42.270278 37.930000),184045,Turkey,640,Middle East,1,1,1989-05-09 00:00:00.000,1989-05-09 00:00:00.000,0,2,0,0,2,2,2,640,
161951,TUR-1989-1-333-9,1989,1989,1989,1,Clear,1,354,354,Turkey: Kurdistan,781,781,Government of Turkey - PKK,115,115,Government of Turkey,323,323,PKK,-1,R 5/28/1989 TERRORIST ATTACK KILLS TWO AND WOUNDS NINE IN NIZIP COFFEEHOUSE.,,,,,5,Southeastern Turkey,southeast,,,37.890868,TUR,42.526891,POINT (42.526891 37.890868),184046,Turkey,640,Middle East,1,3,1989-05-22 00:00:00.000,1989-05-28 00:00:00.000,8,0,0,9,17,17,17,640,
