Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkey,TUR,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,304059000000
Turkey,TUR,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,245754000000
Turkey,TUR,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,246794000000
Turkey,TUR,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,266163000000
Turkey,TUR,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,271056000000
Turkey,TUR,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,232916000000
Turkey,TUR,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,243566000000
Turkey,TUR,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,280864000000
Turkey,TUR,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,288689000000
Turkey,TUR,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,260689000000
Turkey,TUR,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,264393000000
Turkey,TUR,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,208733000000
Turkey,TUR,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,165074000000
Turkey,TUR,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,227299000000
Turkey,TUR,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,191673000000
Turkey,TUR,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,157951000000
Turkey,TUR,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,132890000000
Turkey,TUR,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,109884000000
Turkey,TUR,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,81322000000
Turkey,TUR,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60295000000
Turkey,TUR,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,51943000000
Turkey,TUR,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,67873000000
Turkey,TUR,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53638000000
Turkey,TUR,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60103000000
Turkey,TUR,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60577000000
Turkey,TUR,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53261000000
Turkey,TUR,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,44806000000
Turkey,TUR,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,30460000000
Turkey,TUR,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,37483000000
Turkey,TUR,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,30204000000
Turkey,TUR,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,27763000000
Turkey,TUR,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,28949000000
Turkey,TUR,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21367000000
Turkey,TUR,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18448000000
Turkey,TUR,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17646000000
Turkey,TUR,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14226000000
Turkey,TUR,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14346000000
Turkey,TUR,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13182000000
Turkey,TUR,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11629000000
Turkey,TUR,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11157000000
Turkey,TUR,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10513000000
Turkey,TUR,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9251000000
Turkey,TUR,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6192000000
Turkey,TUR,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5185000000
Turkey,TUR,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6540000000
Turkey,TUR,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5690000000
Turkey,TUR,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5103000000
Turkey,TUR,1974,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4133000000
Turkey,TUR,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-14882000000
Turkey,TUR,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-35537000000
Turkey,TUR,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,5303000000
Turkey,TUR,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-21740000000
Turkey,TUR,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-40877000000
Turkey,TUR,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-27038000000
Turkey,TUR,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-27314000000
Turkey,TUR,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-38851000000
Turkey,TUR,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-55856000000
Turkey,TUR,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-47960000000
Turkey,TUR,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-74402000000
Turkey,TUR,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-44620000000
Turkey,TUR,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-11360000000
Turkey,TUR,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-39425000000
Turkey,TUR,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-36946000000
Turkey,TUR,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-31161000000
Turkey,TUR,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-20980000000
Turkey,TUR,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-14198000000
Turkey,TUR,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7554000000
Turkey,TUR,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-626000000
Turkey,TUR,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3760000000
Turkey,TUR,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-9920000000
Turkey,TUR,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-925000000
Turkey,TUR,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000000000
Turkey,TUR,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2638000000
Turkey,TUR,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2437000000
Turkey,TUR,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2338000000
Turkey,TUR,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2631000000
Turkey,TUR,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6433000000
Turkey,TUR,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-974000000
Turkey,TUR,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,250000000
