iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,glide_numbers
#country+code,#country+name,#date+year,#date+start,#accuracy+date+start,#date+end,#accuracy+date+end,#event+name,#crisis+category+code,#crisis+category+name,#crisis+subcategory+code,#crisis+subcategory+name,#crisis+type+code,#crisis+type+name,#crisis+subtype+code,#crisis+subtype+name,#affected+idps+ind+new+disaster,,#affected+idps+ind+total+disaster,,#crisis+code
TUR,Türkiye,2008,2008-01-08,Day,2008-08-05,Day,Türkiye: Wildfire - 08/01/2008,2,Weather related,2,Climatological,9,Wildfire,11,,300,300,,,
TUR,Türkiye,2009,2009-01-01,Month,,,Türkiye: Flood - 01/01/2009,2,Weather related,3,Hydrological,10,Flood,13,,20000,20000,,,
TUR,Türkiye,2010,2010-01-01,Month,,,Türkiye: Landslide/Wet mass movement - 01/01/2010,2,Weather related,3,Hydrological,11,Mass Movement,15,,200,200,,,
TUR,Türkiye,2011,2011-01-01,Month,,,Türkiye: Earthquake - 01/01/2011,1,Geophysical,1,Geophysical,1,Earthquake,1,,252000,252000,,,
TUR,Türkiye,2014,2014-05-24,Day,2014-05-24,Day,West turkey earthquake,1,Geophysical,1,Geophysical,1,Earthquake,1,,478,480,,,
TUR,Türkiye,2015,2015-02-01,Day,2015-02-03,Day,Edirne province floods,2,Weather related,3,Hydrological,10,Flood,13,,1500,1500,,,
TUR,Türkiye,2016,2016-07-04,Week,2016-07-06,Week,July Flood in the Black Sea Region,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,
TUR,Türkiye,2018,2018-04-24,Day,2018-04-24,Day,Earthquake: Turkey - Adiyaman - 24/04/2018,1,Geophysical,1,Geophysical,1,Earthquake,1,,7,7,,,
TUR,Türkiye,2018,2018-08-09,Day,2018-08-09,Day,Turkey: Floods -  Ordu - 09/08/2018,2,Weather related,3,Hydrological,10,Flood,13,,500,500,,,
TUR,Türkiye,2018,2018-08-12,Day,2018-08-12,Week,Turkey: Landslide risk evacuations - Çaybaşı district (ORDU)  - 12/08/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,78,78,,,
TUR,Türkiye,2018,2018-09-17,Day,2018-09-18,Day,Turkey: Forest Fire - Antalya - 17/09/2018,2,Weather related,2,Climatological,9,Wildfire,11,,50,50,,,
TUR,Türkiye,2019,2019-03-20,Day,2019-03-21,Day,Turkey: Earthquake - Denizli province - 20/03/2019 ,1,Geophysical,1,Geophysical,1,Earthquake,1,,7,7,7,7,
TUR,Türkiye,2019,2019-05-16,Day,2019-05-17,Day,Turkey: Landslide - Ordu - 16/05/2019 ,2,Weather related,3,Hydrological,11,Mass Movement,15,,288,290,79,79,
TUR,Türkiye,2019,2019-06-18,Day,2019-06-18,Day,Turkey: Landslides - Trabzon Province - 19/06/2019,2,Weather related,3,Hydrological,11,Mass Movement,15,,14,14,14,14,
TUR,Türkiye,2019,2019-07-17,Day,2019-07-24,Week,Turkey: floods - Düzce - 17/07/2019,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,
TUR,Türkiye,2019,2019-08-08,Day,2019-08-08,Day,Turkey: earthquake - Bozkurt - 08/08/2019,1,Geophysical,1,Geophysical,1,Earthquake,1,,7,7,7,7,
TUR,Türkiye,2019,2019-10-22,Day,2019-10-22,Week,Turkey: Floods -  Gaziantep - 22/10/2019,2,Weather related,3,Hydrological,10,Flood,13,,24,24,,,
TUR,Türkiye,2020,2020-01-07,Day,2020-01-07,Day,Turkey: Landslide- Mersin (Erdemli) - 07/01/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,6,6,6,6,
TUR,Türkiye,2020,2020-01-08,Day,2020-01-08,Day,"Turkey: Floods - Antalya (Mezitli, Yenisehir, Toroslar, and Akdeniz districts) - 08/01/2020",2,Weather related,3,Hydrological,10,Flood,13,,7,7,,,
TUR,Türkiye,2020,2020-01-15,Day,2020-01-15,Day,Turkey: Earthquake -Elazig - 25/01/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,45,45,45,45,
TUR,Türkiye,2020,2020-01-24,Day,2020-01-24,Day,Turkey: Eartquake - Eastern Region - 24/01/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,259,260,259,260,EQ-2020-000018-TUR
TUR,Türkiye,2020,2020-01-24,Day,2020-02-23,Week,Turkey: Earthquake - Elazığ and Malatya - 24/01/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,25106,25000,25106,25000,
TUR,Türkiye,2020,2020-02-05,Day,2020-02-05,Day,Turkey: Avalanche -  Ordu ( Aybasti town) - 05/02/2020,2,Weather related,3,Hydrological,11,Mass Movement,14,,252,250,79,79,
TUR,Türkiye,2020,2020-02-23,Day,2020-02-23,Day,"Iran - Turkey: Earthquake - West Azerbaijan (Qotur/32 rural districts, Salmas/14 rural districts) - Van (Turkey) - 23/02/2020",1,Geophysical,1,Geophysical,1,Earthquake,1,,3838,3800,3838,3800,
TUR,Türkiye,2020,2020-05-16,Day,2020-05-16,Day,Turkey: Landslide - Ordu - 16/05/2020,2,Weather related,3,Hydrological,11,Mass Movement,15,,288,290,,,
TUR,Türkiye,2020,2020-06-13,Day,2020-06-13,Day,Turkey: Earthquake - Bingol - 13/06/2020,1,Geophysical,1,Geophysical,1,Earthquake,1,,36,36,36,36,
TUR,Türkiye,2020,2020-06-24,Day,2020-06-24,Day,Turkey: Floods - Esenyurt - 24/06/2020,2,Weather related,3,Hydrological,10,Flood,13,,2,2,,,
TUR,Türkiye,2020,2020-07-06,Day,2020-07-06,Day,"Turkey: Wildfire - Çanakkale (Yalova, Kumköy and Bigalı villages) - 06/07/2020",2,Weather related,2,Climatological,9,Wildfire,11,,300,300,,,
TUR,Türkiye,2020,2020-07-13,Day,2020-07-13,Day,"Turkey: Floods - Rize (Madenli, Köprübaşı, Sarısu) - 14/07/2020",2,Weather related,3,Hydrological,10,Flood,13,,11,11,11,11,
TUR,Türkiye,2020,2020-08-24,Day,2020-08-24,Week,Turkey: Floods -  Giresun - 24/08/2020,2,Weather related,3,Hydrological,10,Flood,13,,157,160,61,61,
TUR,Türkiye,2020,2020-10-09,Day,2020-10-11,Day,Turkey: Wildfire - Hatay - 11/10/2020,2,Weather related,2,Climatological,9,Wildfire,11,,200,200,,,
TUR,Türkiye,2020,2020-10-30,Day,2020-10-30,Day,"Greece, Turkey: 7.0 İzmir/Samos Earthquake- İzmir (Turkey), Samos (Greece) - 30/10/2020",1,Geophysical,1,Geophysical,1,Earthquake,1,,10476,10000,14400,14000,EQ-2020-000215-TUR 
TUR,Türkiye,2021,2021-03-25,Day,2021-03-25,Day,Turkey: Landslide - Bursa (Osmangazi district) - 25/03/2021,2,Weather related,3,Hydrological,11,Mass Movement,15,,180,180,,,
TUR,Türkiye,2021,2021-07-15,Day,2021-07-15,Day,"Turkey: Flood - Rize (Güneysu, and Çayeli districts) - 15/07/2021	",2,Weather related,3,Hydrological,10,Flood,13,,103,100,,,
TUR,Türkiye,2021,2021-07-22,Day,2021-07-22,Day,"Turkey: Flood - Artvin (Arhavi district), Rize (Fındıklı District) - 22/07/2021	",2,Weather related,3,Hydrological,10,Flood,13,,470,470,,,
TUR,Türkiye,2021,2021-07-28,Day,2021-08-13,Day,"Turkey: Wildfires - Antalya, Adana, Mersin, Muğla, Osmaniye - 28/07/2021",2,Weather related,2,Climatological,9,Wildfire,11,,80699,81000,9058,9100,2021-000107
TUR,Türkiye,2021,2021-07-31,Day,2021-08-01,Day,Turkey: Flood - Van (Başkale district - Esenyamaç) - 31/07/2021,2,Weather related,3,Hydrological,10,Flood,13,,130,130,130,130,
TUR,Türkiye,2021,2021-08-10,Day,2021-08-12,Day,"Turkey: Floods - Western Black Sea region (Bartın, Kastamonu and Sinop provinces) - 10/08/2021",2,Weather related,3,Hydrological,10,Flood,13,,2483,2500,2153,2200,2021-000113
TUR,Türkiye,2021,2021-11-29,Day,2021-11-29,Day,Turkey: Storm - Marmara and Black Sea Regions - 29/11/2021	,2,Weather related,4,Meteorological,14,Storm,21,,14,14,,,
TUR,Türkiye,2021,2021-12-28,Day,2021-12-29,Day,Turkey: Flood - Edirne and Kırklareli - 28/12/2021,2,Weather related,3,Hydrological,10,Flood,13,,52,52,,,
TUR,Türkiye,2022,2022-01-09,Day,2022-01-10,Day,Türkiye: Flood - Muğla (Bodrum) - 09/01/2022,2,Weather related,3,Hydrological,10,Flood,13,,23,23,,,
TUR,Türkiye,2022,2022-01-24,Day,2022-02-10,Day,Türkiye: Landslide - Zonguldak (Zonguldak) - 24/01/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,145,140,,,
TUR,Türkiye,2022,2022-02-01,Day,2022-02-01,Day,Türkiye: Landslide - Trabzon (Yomra) - 01/02/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,7,7,,,
TUR,Türkiye,2022,2022-02-02,Day,2022-02-02,Day,Türkiye: Landslide - Ordu (Ünye - İnkur District) - 02/02/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,36,36,,,
TUR,Türkiye,2022,2022-02-20,Day,2022-02-20,Day,Türkiye: Landslide - Karabük (Karabük - Yenice) - 20/02/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,99,99,,,
TUR,Türkiye,2022,2022-02-26,Day,2022-02-26,Day,Türkiye: Flood - Zonguldak (Kilimli) - 26/02/2022,2,Weather related,3,Hydrological,10,Flood,13,,13,13,,,
TUR,Türkiye,2022,2022-03-15,Day,2022-03-15,Day,Türkiye: Landslide - Samsun (Samsun - Canik) - 15/03/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,17,17,,,
TUR,Türkiye,2022,2022-03-22,Day,2022-03-22,Day,Türkiye: Avalanche - Bitlis (Bitlis - Gazibey) - 22/03/2022,2,Weather related,3,Hydrological,11,Mass Movement,14,,132,130,,,
TUR,Türkiye,2022,2022-03-23,Day,2022-03-23,Day,Türkiye: Landslide - Çankırı (Çerkeş) - 23/03/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,10,10,,,
TUR,Türkiye,2022,2022-03-26,Week,2022-04-05,Day,Türkiye: Landslide - Ordu (19 districts) - 26/03/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,554,550,,,
TUR,Türkiye,2022,2022-03-28,Day,2022-03-28,Day,Türkiye: Landslides - Isparta (Eğirdir) - 28/03/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,211,210,,,
TUR,Türkiye,2022,2022-03-31,Day,2022-03-31,Day,"Türkiye: Landslide - Trabzon (Arsin, Düzköy) - 31/03/2022",2,Weather related,3,Hydrological,11,Mass Movement,15,,92,92,,,
TUR,Türkiye,2022,2022-04-04,Day,2022-04-05,Day,Türkiye: Flood - Kars (Kars - Aydınlıkevler) - 04/04/2022,2,Weather related,3,Hydrological,10,Flood,13,,30,30,,,
TUR,Türkiye,2022,2022-04-12,Day,2022-04-12,Day,Türkiye: Landslide - Trabzon (Düzköy) - 12/04/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,17,17,,,
TUR,Türkiye,2022,2022-04-18,Day,2022-04-18,Day,Türkiye: Landslide - Trabzon (Sürmene) - 18/04/2022,2,Weather related,3,Hydrological,11,Mass Movement,15,,20,20,,,
TUR,Türkiye,2022,2022-06-03,,2022-06-03,,Türkiye: Storm - Aegean Region (Denizli - Buldan District) - 03/06/2022,2,Weather related,4,Meteorological,14,Storm,21,,1,1,,,
TUR,Türkiye,2022,2022-06-11,,2022-06-12,,"Türkiye: Flood - Central Anatolia (Ankara - Akyurt, Haymana) - 11/06/2022",2,Weather related,3,Hydrological,10,Flood,13,,85,85,3,3,
TUR,Türkiye,2022,2022-06-21,,2022-06-25,,Türkiye: Wildfire - Aegean Region (Muğla - Marmaris District) - 21/06/2022,2,Weather related,2,Climatological,9,Wildfire,11,,435,440,,,
TUR,Türkiye,2022,2022-06-26,,2022-06-26,,Türkiye: Flood - Black Sea Region (Karabük - Yenice) - 26/06/2022,2,Weather related,3,Hydrological,10,Flood,13,,13,13,13,13,FL-2022-000245-TUR
TUR,Türkiye,2022,2022-06-26,Day,2022-06-29,Day,Türkiye: Flood - Black Sea Region - 26/06/2022,2,Weather related,3,Hydrological,10,Flood,13,,2786,2800,,,
TUR,Türkiye,2022,2022-07-10,,2022-07-10,,Türkiye: Flood - İstanbul (Esenyurt) - 10/07/2022,2,Weather related,3,Hydrological,10,Flood,13,,98,98,,,
TUR,Türkiye,2022,2022-09-07,,2022-09-08,,Türkiye: Wildfire - Mersin (Gülnar and Silifke districts) - 07/09/2022,2,Weather related,2,Climatological,9,Wildfire,11,,1025,1000,,,
TUR,Türkiye,2022,2022-09-27,,2022-09-27,,Türkiye: Earthquake - Ardahan (Göle District) - 27/09/2022,1,Geophysical,1,Geophysical,1,Earthquake,1,,231,230,,,
TUR,Türkiye,2022,2022-11-23,,2022-11-24,Week,Türkiye: Earthquake - Black Sea Region (Düzce) - 23/11/2022,1,Geophysical,1,Geophysical,1,Earthquake,1,,858,860,36,36,EQ-2022-000366-TUR
TUR,Türkiye,2023,2023-02-02,Week,2023-02-06,Week,"Syria, Türkiye: Earthquake - 06/02/2023",1,Geophysical,1,Geophysical,1,Earthquake,1,,4047329,4047000,821894,822000,
TUR,Türkiye,2023,2023-03-15,Day,2023-03-17,Week,"Türkiye: Flood - (Şanlıurfa, Adıyaman, Diyarbakir) - 15/03/2023",2,Weather related,3,Hydrological,10,Flood,13,,503,500,,,
TUR,Türkiye,2023,2023-06-04,,2023-06-05,,Türkiye: Flood - (Black Sea) - 04/06/2023,2,Weather related,3,Hydrological,10,Flood,13,,8,8,,,
TUR,Türkiye,2023,2023-07-08,,2023-07-13,,Türkiye: Storm - (Black Sea) - 08/07/2023,2,Weather related,4,Meteorological,14,Storm,21,,731,730,,,
TUR,Türkiye,2023,2023-07-16,,2023-07-16,,Türkiye: Wildfire - Hatay (Belen) - 16/07/2023,2,Weather related,2,Climatological,9,Wildfire,11,,1500,1500,,,
TUR,Türkiye,2023,2023-07-16,,2023-07-16,,Türkiye: Wildfire - Marmara (Çanakkale) - 16/07/2023,2,Weather related,2,Climatological,9,Wildfire,11,,251,250,,,
TUR,Türkiye,2023,2023-07-16,,2023-07-16,,Türkiye: Wildfire - Mersin (Gülnar) - 16/07/2023,2,Weather related,2,Climatological,9,Wildfire,11,,83,83,17,17,
TUR,Türkiye,2023,2023-07-25,,2023-07-26,,Türkiye: Wildfire - İzmir (Kınık) - 25/07/2023,2,Weather related,2,Climatological,9,Wildfire,11,,600,600,,,
TUR,Türkiye,2023,2023-07-26,,2023-07-26,,Türkiye: Wildfire - Marmara (Istanbul) - 26/07/2023,2,Weather related,2,Climatological,9,Wildfire,11,,10,10,,,
TUR,Türkiye,2023,2023-08-22,,2023-08-24,,Türkiye: Wildfire (Damyeri) - Çanakkale - 22/08/2023,2,Weather related,2,Climatological,9,Wildfire,11,,1428,1400,,,
TUR,Türkiye,2023,2023-08-24,Day,2023-08-25,Day,Türkiye: Flood - Rize (Çayeli) - 24/08/2023,2,Weather related,3,Hydrological,10,Flood,13,,24,24,,,
TUR,Türkiye,2023,2023-09-02,Week,2023-09-19,Week,"Greece, Türkiye, Libya, Bulgaria: Tropical Storm Daniel -  02/09/2023",2,Weather related,4,Meteorological,14,Storm,24,,115,120,,,
TUR,Türkiye,2023,2023-09-17,Day,2023-09-18,Week,Türkiye: Wildfire - Antalya (Alanya District) - 17/09/2023,2,Weather related,2,Climatological,9,Wildfire,11,,56,56,,,
TUR,Türkiye,2023,2023-10-01,Day,2023-10-01,Day,"Türkiye: Flood -  Trabzon (Sürmene, Arsin, Araklı and Of)  - 01/10/2023",2,Weather related,3,Hydrological,10,Flood,13,,16,16,,,
TUR,Türkiye,2023,2023-10-03,Day,2023-10-05,Day,Türkiye: Flood - Rize - 05/10/2023,2,Weather related,3,Hydrological,10,Flood,13,,10,10,,,
TUR,Türkiye,2023,2023-10-25,Day,2023-10-26,Day,Türkiye: Wildfire - Kastamonu (Yağcılar) - 25/10/2023,2,Weather related,2,Climatological,9,Wildfire,11,,99,99,99,99,
TUR,Türkiye,2023,2023-11-04,Day,2023-11-04,Day,Türkiye: Wildfire - Çanakkale - 04/11/2023,2,Weather related,2,Climatological,9,Wildfire,11,,144,140,,,
TUR,Türkiye,2023,2023-11-19,Day,2023-11-20,Day,"Türkiye: Flood - Black Sea Region, Southeastern Anatolia Region, Marmara Region - 19/11/2023",2,Weather related,3,Hydrological,10,Flood,13,,43,43,,,
TUR,Türkiye,2023,2023-11-29,Day,2023-11-29,Day,Türkiye: Storm - Istanbul - 29/11/2023,2,Weather related,4,Meteorological,14,Storm,21,,10,10,,,
TUR,Türkiye,2023,2023-12-09,Day,2023-12-09,Day,Türkiye: Landslide/Wet mass movement - Zonguldak (Asma District) - 09/12/2023,2,Weather related,3,Hydrological,11,Mass Movement,15,,42,42,,,
