id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
us6000jn0h,4.8,"15 km SSW of Yesilyurt, Turkey",1676004624897,1676012348092,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jn0h,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jn0h.geojson,1,2.000000000000000,0.000000000000000,,reviewed,0,355,us,6000jn0h,",us6000jn0h,",",us,",",dyfi,moment-tensor,origin,phase-data,",55,1.255,0.760,79.000,mb,earthquake,"M 4.8 - 15 km SSW of Yesilyurt, Turkey"
us6000jmzl,4.4,"7 km NNW of ├çelikhan, Turkey",1675994622936,1675995792040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmzl,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmzl.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jmzl,",us6000jmzl,",",us,",",origin,phase-data,",35,1.211,1.190,66.000,mb,earthquake,"M 4.4 - 7 km NNW of ├çelikhan, Turkey"
us6000jmzj,4.9,central Turkey,1675993860509,1675995329040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmzj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmzj.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,369,us,6000jmzj,",us6000jmzj,",",us,",",origin,phase-data,",39,0.816,0.730,49.000,mb,earthquake,M 4.9 - central Turkey
us6000jmvs,4.2,"21 km SE of Hasanbeyli, Turkey",1675980399722,1675981910040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmvs,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmvs.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,271,us,6000jmvs,",us6000jmvs,",",us,",",origin,phase-data,",58,0.461,1.090,68.000,mb,earthquake,"M 4.2 - 21 km SE of Hasanbeyli, Turkey"
us6000jmvn,4.1,"8 km E of Nurdagi, Turkey",1675979189575,1675981229040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmvn,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmvn.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,259,us,6000jmvn,",us6000jmvn,",",us,",",origin,phase-data,",39,0.306,0.520,84.000,mb,earthquake,"M 4.1 - 8 km E of Nurdagi, Turkey"
us6000jmpe,4.3,eastern Turkey,1675936016179,1675974861991,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmpe,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmpe.geojson,2,2.700000000000000,0.000000000000000,,reviewed,0,285,us,6000jmpe,",us6000jmpe,",",us,",",dyfi,origin,phase-data,",32,1.396,0.490,121.000,mb,earthquake,M 4.3 - eastern Turkey
us6000jmnx,4.3,"11 km E of G├╢ksun, Turkey",1675928529215,1675929679040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmnx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmnx.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jmnx,",us6000jmnx,",",us,",",origin,phase-data,",39,0.960,0.950,70.000,mb,earthquake,"M 4.3 - 11 km E of G├╢ksun, Turkey"
us6000jmnp,4.8,"18 km NNE of Asagi Karafakili, Turkey",1675927096806,1675930397005,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmnp,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmnp.geojson,2,2.200000000000000,0.000000000000000,,reviewed,0,355,us,6000jmnp,",us6000jmnp,",",us,",",dyfi,origin,phase-data,",71,0.510,0.580,39.000,mb,earthquake,"M 4.8 - 18 km NNE of Asagi Karafakili, Turkey"
us6000jmnc,4.1,"10 km SSW of Yesilyurt, Turkey",1675921055117,1675924237040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmnc,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmnc.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,259,us,6000jmnc,",us6000jmnc,",",us,",",origin,phase-data,",27,1.302,0.610,104.000,mb,earthquake,"M 4.1 - 10 km SSW of Yesilyurt, Turkey"
us6000jmn4,4.3,eastern Turkey,1675917285360,1675998915040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmn4,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmn4.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jmn4,",us6000jmn4,",",us,",",origin,phase-data,",28,1.350,0.620,115.000,mb,earthquake,M 4.3 - eastern Turkey
us6000jmmz,4.5,"7 km WSW of Sincik, Turkey",1675914739732,1675997839040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmmz,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmmz.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jmmz,",us6000jmmz,",",us,",",origin,phase-data,",23,1.347,0.690,121.000,mb,earthquake,"M 4.5 - 7 km WSW of Sincik, Turkey"
us6000jmmw,4.3,"8 km W of Hassa, Turkey",1675913095884,1675996625040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmmw,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmmw.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jmmw,",us6000jmmw,",",us,",",origin,phase-data,",23,0.723,1.050,154.000,mb,earthquake,"M 4.3 - 8 km W of Hassa, Turkey"
us6000jmma,4.4,"9 km NNE of G├╢lbasi, Turkey",1675907060184,1675995185040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmma,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmma.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jmma,",us6000jmma,",",us,",",origin,phase-data,",38,0.781,0.760,106.000,mb,earthquake,"M 4.4 - 9 km NNE of G├╢lbasi, Turkey"
us6000jmm7,4.4,eastern Turkey,1675906693965,1675994882040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmm7,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmm7.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jmm7,",us6000jmm7,",",us,",",origin,phase-data,",37,1.160,0.680,78.000,mb,earthquake,M 4.4 - eastern Turkey
us6000jmlx,4.2,"4 km SSW of Sivrice, Turkey",1675902737238,1675903591040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmlx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmlx.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,271,us,6000jmlx,",us6000jmlx,",",us,",",origin,phase-data,",20,1.604,0.920,101.000,mb,earthquake,"M 4.2 - 4 km SSW of Sivrice, Turkey"
us6000jmll,4.0,"9 km SSW of Yesilyurt, Turkey",1675895810425,1675896435040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmll,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmll.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,246,us,6000jmll,",us6000jmll,",",us,",",origin,phase-data,",29,1.309,0.600,91.000,mb,earthquake,"M 4.0 - 9 km SSW of Yesilyurt, Turkey"
us6000jmkh,4.5,"13 km SW of Yesilyurt, Turkey",1675887126247,1675923497917,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmkh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmkh.geojson,2,2.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jmkh,",us6000jmkh,",",us,",",dyfi,origin,phase-data,",29,1.274,1.180,103.000,mb,earthquake,"M 4.5 - 13 km SW of Yesilyurt, Turkey"
us6000jmjj,4.5,eastern Turkey,1675879043222,1675946067111,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmjj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmjj.geojson,1,1.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jmjj,",us6000jmjj,",",us,",",dyfi,origin,phase-data,",34,1.567,1.200,48.000,mb,earthquake,M 4.5 - eastern Turkey
us6000jmh3,5.1,"1 km E of Nurhak, Turkey",1675866025727,1675981111040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmh3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmh3.geojson,3,6.200000000000000,0.000000000000000,,reviewed,0,402,us,6000jmh3,",us6000jmh3,",",us,",",dyfi,moment-tensor,origin,phase-data,",143,0.814,0.880,55.000,mww,earthquake,"M 5.1 - 1 km E of Nurhak, Turkey"
us6000jmgg,4.6,"14 km ESE of Nurhak, Turkey",1675855441531,1675981745040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmgg,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmgg.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,326,us,6000jmgg,",us6000jmgg,",",us,",",moment-tensor,origin,phase-data,",69,0.805,0.680,78.000,mb,earthquake,"M 4.6 - 14 km ESE of Nurhak, Turkey"
us6000jmgf,5.4,"18 km N of G├╢lbasi, Turkey",1675854712720,1675981535040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmgf,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmgf.geojson,3,3.100000000000000,6.414000000000000,green,reviewed,0,450,us,6000jmgf,",us6000jmgf,",",us,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",112,0.849,0.800,44.000,mww,earthquake,"M 5.4 - 18 km N of G├╢lbasi, Turkey"
us6000jmge,4.3,"4 km W of Dogansehir, Turkey",1675854020006,1675982555040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jmge,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jmge.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jmge,",us6000jmge,",",us,",",moment-tensor,origin,phase-data,",28,1.035,0.500,98.000,mb,earthquake,"M 4.3 - 4 km W of Dogansehir, Turkey"
