date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2013-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.35,1.292
2013-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.49,2.4681
2013-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.2,1.2081
2013-05-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.25,0.1395
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.31,4.0165
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,14.1307
2013-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.29,1.2597
2013-05-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.35,20.5217
2013-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.92,21.9329
2013-05-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.46,1.9007
2013-05-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.02,7.7034
2013-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.56,1.9562
2013-05-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.41,5.7218
2013-05-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.21,3.412
2013-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,5.89,3.2373
2013-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.17,3.3915
2013-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.26,1.793
